,Comparison,Slope,R_squared,P_value
53,FZD1,0.8594562383927106,0.46238794781412185,7.118479696354405e-21
74,LPAR1,1.112053164479421,0.5200082541493978,1.5724845300301795e-20
22,GJA1,1.0685939459106462,0.40352662216297613,1.2153745509590703e-17
12,ITGA6,0.6813667079065482,0.4001148438427512,1.8296322595809322e-17
63,GNAQ,0.5211747781542423,0.3856009217104131,1.0168819755117432e-16
36,ITGB1,0.6307107121906579,0.38478607066954673,1.1183612238823714e-16
98,PTPRA,0.35751211183348885,0.366330020943408,9.339130176108804e-16
58,SLC27A1,0.41922173056256334,0.35358756038091127,3.904997676198167e-15
40,GNA11,0.5147962750702566,0.34605616672287176,8.980570311322132e-15
27,ITGAV,0.5269552552462841,0.3426283651733446,1.3079462597507714e-14
104,MYOF,0.5515465701336264,0.3120297265013887,3.459108718211894e-13
37,IGF1R,0.4233249362942222,0.3070063570374018,5.843475621448126e-13
0,CD81,0.7613483962862482,0.28982479291404767,3.4183062093871413e-12
54,CD44,0.6111254841666891,0.2758247044661104,1.399673832496404e-11
95,RAB14,0.4150760259735984,0.2710995771855112,2.2394585666554975e-11
102,ALDOA,-0.36432398585676473,0.26187792962100176,5.5585049817263755e-11
6,SQSTM1,-0.29132574889750457,0.2571776648833793,8.798902401024505e-11
69,PAK2,-0.19030015413806847,0.25238283715468474,1.401870456900641e-10
35,PRDX1,-0.39498638861606206,0.24506621012184537,2.838397043143479e-10
34,CDH11,0.6797470610035878,0.24429197363880337,3.0572570359402517e-10
50,ITGB5,0.39455072342462116,0.24119832702279626,4.110807249775836e-10
19,ADAM17,0.4213295912381891,0.2357596582542954,6.899816807225437e-10
49,RAC1,0.2562715075663663,0.23434526009493378,7.890210735315331e-10
96,CACYBP,-0.3816749571462844,0.23040025287055726,1.1456293111437682e-09
3,LBR,0.4351130493795944,0.22636342553001898,1.6749030269901895e-09
38,SLC39A7,0.7129458915847103,0.21530704579433535,4.696842566236574e-09
45,COL3A1,0.7699070401973425,0.21393892798155636,5.331190950182802e-09
61,CSNK2B,-0.1693966288410882,0.21035644283559427,7.421442098693559e-09
77,PDGFRB,0.6061882702538013,0.21032194274937474,7.44507356872053e-09
103,ACVR1,0.38567358649424477,0.22008822662963337,8.368684929263596e-09
14,COL1A2,1.0292679263819697,0.20345729590156852,1.3980829161086156e-08
64,COL1A1,1.2456030357858066,0.20335079016492738,1.4117649718912138e-08
15,NFKB2,-0.26844125302476585,0.2001689542682706,1.8875048823419764e-08
84,GRB2,-0.25942399931355536,0.19891467379499916,2.115854588164119e-08
17,COL5A2,0.7724612239785833,0.19883907202723067,2.1304588336892223e-08
21,RFC4,-0.24797745291183979,0.1928362163090682,3.671878496855006e-08
62,ITGB6,0.5779643627443906,0.19136884357351122,4.192242879111271e-08
82,GNAS,0.29409803249588723,0.1908229816511592,4.403874807230932e-08
80,ITGB3,0.6459654606480856,0.1901516922903295,4.6786551058625426e-08
10,WNT5A,0.47978439679748763,0.18916172881397417,5.115066809491891e-08
51,EIF2S1,-0.2009408136453275,0.1874785273001516,5.951270493512233e-08
67,DOCK1,0.3395682298260543,0.18714044180604322,6.134846453550735e-08
86,KPNA1,-0.17548616276853335,0.18147752251380997,1.0188438859669018e-07
101,MAP2K1,-0.224330680779863,0.18079272137563812,1.0830793988804255e-07
8,LAMTOR3,-0.25905429757611637,0.1801182523908606,1.1502544725147942e-07
25,GNA13,0.31229953138008215,0.18011324073527768,1.1507687212190505e-07
89,INSR,0.3426050213463226,0.17803041180614015,1.3854035706319005e-07
71,MAP3K2,-0.13625200568981083,0.17765375290165275,1.432621538816877e-07
48,IL6ST,0.37624407536587123,0.18622868052358782,1.735802571136721e-07
92,CDKN2A,-0.4632477023505108,0.17389421861065893,2.0003425646096447e-07
73,GAPDH,-0.23818754052779142,0.1737346106697817,2.028835532090197e-07
59,GNAI3,0.3269233577784319,0.17254652602528361,2.2539218431698595e-07
100,NRAS,0.3696539659217185,0.1713423884074352,2.507220474305952e-07
65,RAP1B,0.2839874842891877,0.1702167881727192,2.76935707580981e-07
5,G6PC3,0.518684662209998,0.16986823422098424,2.855895068693027e-07
88,RAB10,0.4679197365038181,0.16857967529411763,3.199663961249125e-07
4,GNAI2,0.26522013921478704,0.1641157451503313,4.738311661945374e-07
81,EIF2AK2,-0.18412728314861587,0.16148172772622207,5.968883012555053e-07
79,WNT2,0.5716830780640446,0.1572505208975174,8.638373241769725e-07
7,CTNNA2,0.7434065652651229,0.15719651867787318,8.679140487901666e-07
97,GNG12,0.37685450664193104,0.15707996277025116,8.767780400332941e-07
78,COL5A1,0.5663762228267308,0.1570174202662874,8.815712064201362e-07
46,CYP1B1,0.6184862484589598,0.15580137955257034,9.800911548530673e-07
87,RELB,-0.1826749108879577,0.15543695241225458,1.0116827924474183e-06
56,STAT1,-0.5005760356336754,0.1536444461505107,1.1823476395386386e-06
1,SLC39A6,0.3582602838292733,0.1529692017894669,1.253773311342685e-06
44,ACTB,-0.46816540092783054,0.15226745575946765,1.3325260978790032e-06
26,PGK2,-0.9592297038514866,0.15195719860490833,1.4913776341025954e-06
30,AIP,-0.24580899903510936,0.15014428583689518,1.6018343288528369e-06
90,ITGA2,0.47340429563567793,0.14971339667176822,1.662732850901203e-06
33,SNAI2,0.71459958458002,0.32329548354070975,1.7490980227238705e-06
28,LRRC8A,0.2690106894454584,0.14787072102655147,1.950069389244787e-06
18,RALB,0.29333864109810914,0.14745509163343481,2.021384255231861e-06
57,ITGB4,0.39362024069008017,0.1473349233145011,2.0424798185912233e-06
70,RTN4,0.3071258523656309,0.14393236881880625,2.7392087893431885e-06
76,PGK1,-0.2604954282064087,0.14256571844964527,3.08116140519495e-06
99,CTNNB1,0.34997170814493633,0.14178153469068758,3.2961103903046065e-06
39,PDK1,-0.32071255927316095,0.14104366601026821,3.511890299883701e-06
72,SLC39A10,0.32098984478808024,0.1382684976588041,4.456149075077177e-06
93,RHOA,0.273909881731663,0.13400217404719625,6.419040021982961e-06
2,PLD2,0.2219404857118023,0.13278293789692408,7.123037574278539e-06
60,NPC1,0.2954426128843126,0.13220292171338727,7.484271097914257e-06
24,NFATC3,-0.1662290278607418,0.13171395624911011,7.80284937228367e-06
94,PHGDH,-0.44113314476831744,0.13064340218564358,8.54800304420496e-06
66,GPI,-0.25598624965618566,0.13040366644015694,8.724295427546197e-06
29,CAV1,0.9093747194506637,0.12886143224613042,9.947702042844954e-06
42,RHOC,0.29626938737150627,0.1259467538030774,1.2742105469844458e-05
23,GNG2,0.40773418188858135,0.12579855380597352,1.2903320084745374e-05
83,WNT4,0.6274663185484942,0.14048087232741713,1.4154531651362864e-05
47,RAB2A,0.3738443771695367,0.12420176959528105,1.4773836138522343e-05
55,LAMC3,0.4560201753680722,0.1234193863964913,1.578604016314261e-05
31,ITGA1,0.5607570637621074,0.1233133363699667,1.592842792967013e-05
20,GCLC,0.351497921687672,0.12082183353612291,1.9665310099927455e-05
16,BCL2,0.5388134960225818,0.1258496219999567,2.2595056250821563e-05
41,CDH5,0.34996789131292894,0.11801858432139373,2.4915921175263908e-05
32,CYCS,-0.2630963170407141,0.11720633499318069,2.6681921530811177e-05
85,GSTP1,-0.29005770831604655,0.11501751719018345,3.208286689865745e-05
11,ARRB2,-0.218100284406048,0.11462551354281952,3.315870464689152e-05
9,PSAT1,-0.6041150853833231,0.11447068031086959,3.3593426203992246e-05
13,RALA,0.288780827989139,0.1135751570921969,3.622093833107963e-05
68,DEPTOR,-0.269584237194874,0.11247702537633444,3.972252060780385e-05
91,IRF3,-0.17680766755893415,0.11225767941856081,4.046116247973608e-05
52,CDH1,0.4193138278467872,0.11210788095088661,4.097341747850514e-05
75,FTH1,0.3299169676749854,0.11183858069608012,4.191055294143797e-05
43,TP53,-0.4585196271226248,0.13584091571039913,4.337067692135956e-05
