,Comparison,Slope,R_squared,P_value
16,PSAT1,1.0519314454216777,0.37126928319385555,4.973595244978055e-13
64,ANGPTL4,0.74115151762074,0.35132924903714646,2.980158086576803e-12
11,PLA2G4A,0.518085093336353,0.33891246307130196,8.850043244400512e-12
79,PFKP,0.5377958551184056,0.31096845598169187,9.56282529768713e-11
55,FOXA1,-0.5145150411523679,0.303924436511122,1.717435373936744e-10
12,CDK6,0.41805945565905717,0.30314429866646775,1.8318707686012947e-10
41,ESR1,-0.8546406511447163,0.2871345566231983,6.782657491107161e-10
39,SLC2A1,0.7161338683616233,0.26998646873993887,2.674762761881749e-09
29,RAB9A,0.27575333591211515,0.26791170662970437,3.151389489899657e-09
32,MMP12,0.7839398364982868,0.266717235397402,3.462728511877276e-09
80,MAP4K4,0.23749137318014743,0.2527596231475652,1.0305276923107735e-08
72,ANXA1,0.41423352959883586,0.24456595756522692,1.9380547688948787e-08
46,ITGB4,0.4292483220783936,0.2353444023235317,3.9164482182967905e-08
83,CETN3,-0.322748701201246,0.23432958767066106,4.229732952360698e-08
10,MAPT,-1.0372869200035477,0.23370683507660153,4.434067262422038e-08
9,MAPT,-1.0372869200035477,0.23370683507660153,4.434067262422038e-08
38,CYP1B1,0.5799586649701105,0.2323889108847889,4.8990816110855906e-08
51,ENO1,0.34871625322250455,0.23054341865215508,5.6318870160538314e-08
52,ENO1,0.34871625322250455,0.23054341865215508,5.6318870160538314e-08
84,RAD17,-0.17579902048734689,0.22521371053776104,8.409457750859892e-08
19,ITGA6,0.41815872541898325,0.22343882555499214,9.605408702942132e-08
4,ITGA5,0.3530861442256325,0.22266037992308424,1.018138209043639e-07
70,TNFAIP3,0.27072380488853137,0.21498715300559534,1.8026830818690424e-07
27,MSN,0.20891991258819026,0.21265949462441064,2.141732059650012e-07
61,SERPINE1,0.5744341196823132,0.23490139469422222,3.706792752255316e-07
74,PHGDH,0.5486328967024486,0.1992959352510756,5.712290341246494e-07
76,PPP2R3A,0.27534327822894183,0.19903802322075526,5.820667303693648e-07
37,PTGES3,-0.1872671136556548,0.1985086422153603,6.049505214695398e-07
18,CEBPB,0.3939206131746334,0.19794521883177166,6.302800700374505e-07
71,ICAM1,0.43457839933647496,0.19778303388037724,6.377631184562352e-07
13,GRB10,0.3030855927013236,0.19246031837621574,9.384250677675603e-07
1,CSPG4,0.36574532335421045,0.19209567025651297,9.63511910425138e-07
81,HK3,0.4534274695968707,0.18987153643289462,1.1314813956144632e-06
60,TEAD3,0.21693104936166574,0.18573828388939448,1.5237759625744226e-06
25,COL4A2,0.27618185939570344,0.18571186232467535,1.5266720105517651e-06
