,Comparison,Slope,R_squared,P_value
618,MAPK8IP3,-0.013008070201536808,1.0,0.0
402,PSPH,0.1770538333964554,0.3470895271721076,1.311172434643965e-19
818,PFKP,0.12104609113342024,0.23826787252673937,3.441672859098034e-13
105,JAG1,0.04695750615305196,0.23397777322069838,4.217476560025874e-09
144,GJA1,0.030686328570690553,0.15379929152915833,7.989724850683465e-08
179,ITGAV,0.09748421085804447,0.136379995328137,9.278112455829465e-08
694,PKM,0.6348067331080347,0.12253543533613095,4.5977989578141843e-07
279,G6PD,0.5863553614181826,0.11454349353727586,1.1482781433994877e-06
87,DVL3,0.015460588628132566,0.1268547093766477,8.271369838522045e-06
406,HSP90AA1,0.30475087245306537,0.09487707164028103,1.0661295640462418e-05
53,CDK6,0.04713977808925952,0.09691826253715907,1.4449583352666894e-05
370,SLC2A1,0.6305637966712534,0.08978140796916395,1.8899060368979075e-05
814,ACLY,0.1489090661987982,0.080390316874768,5.404669301630064e-05
164,PLOD2,0.04470292733306356,0.0821278188871552,0.00014467022429199636
360,CDKN2B,0.02087709032841851,0.15699124077719895,0.00015909190690125915
757,CDKN2A,0.03845471693826747,0.10940128538329977,0.00019840711163582157
854,MYOF,0.05264278077989246,0.06790009994970715,0.00021714648357291894
519,NQO1,0.11382459555540281,0.07173639244011717,0.00021907911685080633
429,CD44,0.1749698236385686,0.06689375977683329,0.00024283658356938817
663,COL5A1,0.03735150114532016,0.07892158085408811,0.0002932760832028137
693,ARRB1,-0.016722166697560242,0.06343618034083993,0.0003565259898623796
13,GNG11,-0.02127780081245984,0.09220811524828872,0.00036141605227284196
38,ITGA5,0.0513962249296933,0.061740540794687236,0.0004303803776420679
471,MAPK3,-0.03806032702605931,0.06024509495903272,0.000508103695396031
551,PPP2R2A,-0.04967363554929727,0.05862939927596686,0.0006079207458313269
12,EPS15,-0.01792278203564453,0.05527503886579113,0.0008822339972096338
348,VWF,-0.03574052766205852,0.05390564434634102,0.001027143349431908
318,SOD3,-0.4757017488949097,0.054025923327145536,0.0010443854730134892
17,COMP,0.05947476712399941,0.05403432447897062,0.0011079956624564303
430,RPS6KA3,-0.012931097561917616,0.05286654300703538,0.0011528159866802607
481,FGF2,-0.02942765843514857,0.06905416243585485,0.0012048046122285826
262,TFAP2A,0.009638278431947771,0.09527283166462809,0.0012177147159144997
740,TNC,0.6060038686078185,0.051373693694596344,0.0013608245916440843
408,VIM,-7.306995561865005,0.05062385797014952,0.0014791090606057172
833,LAMC2,0.26116888599714544,0.050721466485800296,0.0015050635387667743
745,PPP2R5B,0.009595042081075597,0.29510773149794894,0.001588213565460673
747,ITGA2,0.045535816679291186,0.051407728819609776,0.0016098337867826603
107,FAM91A1,0.016119616984192568,0.05417776845426179,0.001715640361436385
267,PLCB1,-0.006262542906340591,0.06682569878682897,0.0017576294792992575
45,LDHA,1.615714801250692,0.04824826767589639,0.0019264110460723107
57,LAMB3,0.11403551420483478,0.04727375296297041,0.0022636241251205867
250,PPP1R12B,-0.013345647228483713,0.04902554813835018,0.002323533816566192
671,RFC3,0.012389950713118566,0.0473265811021144,0.0023728146546933547
555,GSTM1,0.22477778518496108,0.04645428961147362,0.002414187309555093
113,TNXB,-0.27896823479977156,0.04641092838188889,0.002489635074675425
15,GPX2,0.06252938054724531,0.05703800352419135,0.003464141733583787
118,COL5A2,0.04308359268526529,0.046301583586780055,0.0036255993330190175
582,NOTCH2,0.0077857109292872205,0.04595990289639592,0.004165378541775886
596,STAT5A,-0.0173284874358315,0.04087920854011025,0.004382328384899119
338,CSNK1A1,0.0447827594831644,0.040835672267763176,0.004403723362803825
848,LMNB2,-0.13752352796801395,0.04028069927930213,0.0046858696055896275
563,PAK2,0.0365541932070861,0.04017887133953479,0.0047395860775350665
707,GRB2,-0.04596474086214952,0.04016813153348356,0.004745287670316827
843,STAT5B,-0.0098927187818229,0.03991970989538249,0.004879120531319764
466,SHOC2,-0.010592673735486067,0.04131888201198688,0.005026718704777484
114,LAMB2,-0.14704626967641785,0.03935002857377326,0.005200598487387623
744,SPP1,0.01917508443509303,0.09496167216573136,0.0064001425603716815
