,Comparison,Slope,R_squared,P_value
76,PSAT1,1.0519314454216777,0.37126928319385555,4.973595244978055e-13
741,ANGPTL4,0.74115151762074,0.35132924903714646,2.980158086576803e-12
56,PLA2G4A,0.518085093336353,0.33891246307130196,8.850043244400512e-12
959,PFKP,0.5377958551184056,0.31096845598169187,9.56282529768713e-11
585,FOXA1,-0.5145150411523679,0.303924436511122,1.717435373936744e-10
59,CDK6,0.41805945565905717,0.30314429866646775,1.8318707686012947e-10
431,ESR1,-0.8546406511447163,0.2871345566231983,6.782657491107161e-10
414,SLC2A1,0.7161338683616233,0.26998646873993887,2.674762761881749e-09
275,RAB9A,0.27575333591211515,0.26791170662970437,3.151389489899657e-09
365,MMP12,0.7839398364982868,0.266717235397402,3.462728511877276e-09
963,MAP4K4,0.23749137318014743,0.2527596231475652,1.0305276923107735e-08
813,ANXA1,0.41423352959883586,0.24456595756522692,1.9380547688948787e-08
517,ITGB4,0.4292483220783936,0.2353444023235317,3.9164482182967905e-08
980,CETN3,-0.322748701201246,0.23432958767066106,4.229732952360698e-08
51,MAPT,-1.0372869200035477,0.23370683507660153,4.434067262422038e-08
50,MAPT,-1.0372869200035477,0.23370683507660153,4.434067262422038e-08
412,CYP1B1,0.5799586649701105,0.2323889108847889,4.8990816110855906e-08
546,ENO1,0.34871625322250455,0.23054341865215508,5.6318870160538314e-08
547,ENO1,0.34871625322250455,0.23054341865215508,5.6318870160538314e-08
987,RAD17,-0.17579902048734689,0.22521371053776104,8.409457750859892e-08
97,ITGA6,0.41815872541898325,0.22343882555499214,9.605408702942132e-08
43,ITGA5,0.3530861442256325,0.22266037992308424,1.018138209043639e-07
799,TNFAIP3,0.27072380488853137,0.21498715300559534,1.8026830818690424e-07
260,MSN,0.20891991258819026,0.21265949462441064,2.141732059650012e-07
668,SERPINE1,0.5744341196823132,0.23490139469422222,3.706792752255316e-07
904,PHGDH,0.5486328967024486,0.1992959352510756,5.712290341246494e-07
906,PPP2R3A,0.27534327822894183,0.19903802322075526,5.820667303693648e-07
394,PTGES3,-0.1872671136556548,0.1985086422153603,6.049505214695398e-07
93,CEBPB,0.3939206131746334,0.19794521883177166,6.302800700374505e-07
802,ICAM1,0.43457839933647496,0.19778303388037724,6.377631184562352e-07
60,GRB10,0.3030855927013236,0.19246031837621574,9.384250677675603e-07
18,CSPG4,0.36574532335421045,0.19209567025651297,9.63511910425138e-07
968,HK3,0.4534274695968707,0.18987153643289462,1.1314813956144632e-06
635,TEAD3,0.21693104936166574,0.18573828388939448,1.5237759625744226e-06
231,COL4A2,0.27618185939570344,0.18571186232467535,1.5266720105517651e-06
416,JUN,0.23298222038875543,0.18376570394111486,1.755599355952217e-06
611,MKNK1,0.1821012067282402,0.18221293776162073,1.96224950045011e-06
83,MYH10,-0.6721368641582173,0.22780630699724908,1.9704514353621868e-06
474,DAPK3,0.26790260760682333,0.17978735609629976,2.333989581243527e-06
347,MAP3K6,0.23510658810155105,0.1791974505434722,2.434419562547256e-06
440,LAMB1,0.28363905490639946,0.17890903621518184,2.485060716049357e-06
749,RRAS2,0.34605613619614023,0.17671300495890493,2.906271887903356e-06
525,PLD1,0.2834012997925765,0.20401233794561785,3.037293188876632e-06
370,TLN1,0.17931799905179846,0.1748990339615463,3.306700509625909e-06
784,LIMK1,0.16492137804262477,0.1734713993421014,3.6596933133921814e-06
760,ARHGAP35,-0.26940561928336554,0.173263195629182,3.7141869102140695e-06
390,ACTB,0.24316554788747888,0.17218443245294934,4.00960988632869e-06
533,SLC2A3,0.44970528808629157,0.17973711716474253,4.353018091118916e-06
553,VAV3,-0.28225257666638526,0.170759435221553,4.435633942163043e-06
