,Comparison,Slope,R_squared,P_value
22,GRB2,-0.1637256664824653,0.4115691431244513,5.6518915861054995e-14
13,SOX9,0.24829961827488553,0.27358745673390444,5.382478182446673e-09
19,CDKN2C,0.27517296279344844,0.2362860506001864,8.39950985947283e-08
24,GAB1,0.1424470497679289,0.2154910785667288,3.6900400482481384e-07
8,DBI,0.1818303111698339,0.21361808965898313,4.209130499164386e-07
9,CDH4,0.1700748539117506,0.2025107784329428,9.136729532775754e-07
16,SHOC2,-0.09173813258413707,0.19747214776133634,1.2947033478521027e-06
20,HGF,-0.24541701027068072,0.20948566671392269,1.9065294767463225e-06
18,PIK3CD,-0.11103960776642252,0.1901867406470069,2.136240654272937e-06
5,RGMA,0.16763125580403196,0.18671596542510752,2.7082488542936872e-06
3,CDK6,0.29236971409517726,0.18158039095486644,3.8414289083609025e-06
15,DAPK3,-0.0874248149653773,0.17952350668783798,4.416482158708631e-06
7,CTSB,-0.16428810893082219,0.1699222924822097,8.438760085223734e-06
25,PDGFA,0.18598248763644246,0.1725966989769273,8.595529349533772e-06
10,ACTR2,-0.06241102109746666,0.16916098100442287,8.881088223372904e-06
2,SLC6A9,0.20279207963276233,0.16881742225694835,9.088110956997988e-06
1,CSPG4,0.18052571309797252,0.1685766814273231,9.236005493017217e-06
6,TPM3,-0.08981334566040548,0.16133934462751953,1.4980082118305129e-05
27,SHC1,-0.13036810890936681,0.1580355974686752,1.8660877555703734e-05
23,PPP1R12A,-0.056541034878110734,0.157892733356066,1.8838741464671425e-05
26,TEAD1,0.16068235315846902,0.15505811295589078,2.27346171692142e-05
12,REL,-0.0921356098032471,0.15383803675953442,2.464694058940378e-05
14,MAP3K4,-0.07433458155201687,0.15322395743824183,2.5668639734664818e-05
21,TRIM28,0.14653545876837407,0.15068109580062974,3.0363318856729127e-05
0,RAPGEF1,-0.05702924943533394,0.15064333986414782,3.043905335249298e-05
4,PSAT1,0.15777714980617288,0.14751239404203048,3.741355695229833e-05
17,COL6A2,-0.2429841563529506,0.145806271519725,4.185567783917588e-05
11,NOTCH1,0.09120146283974083,0.14422272314714088,4.64427540324205e-05
