,Comparison,Slope,R_squared,P_value
870,GRB2,-0.1637256664824653,0.4115691431244513,5.6518915861054995e-14
426,SOX9,0.24829961827488553,0.27358745673390444,5.382478182446673e-09
759,CDKN2C,0.27517296279344844,0.2362860506001864,8.39950985947283e-08
940,GAB1,0.1424470497679289,0.2154910785667288,3.6900400482481384e-07
121,DBI,0.1818303111698339,0.21361808965898313,4.209130499164386e-07
148,CDH4,0.1700748539117506,0.2025107784329428,9.136729532775754e-07
568,SHOC2,-0.09173813258413707,0.19747214776133634,1.2947033478521027e-06
837,HGF,-0.24541701027068072,0.20948566671392269,1.9065294767463225e-06
735,PIK3CD,-0.11103960776642252,0.1901867406470069,2.136240654272937e-06
86,RGMA,0.16763125580403196,0.18671596542510752,2.7082488542936872e-06
67,CDK6,0.29236971409517726,0.18158039095486644,3.8414289083609025e-06
518,DAPK3,-0.0874248149653773,0.17952350668783798,4.416482158708631e-06
118,CTSB,-0.16428810893082219,0.1699222924822097,8.438760085223734e-06
1023,PDGFA,0.18598248763644246,0.1725966989769273,8.595529349533772e-06
223,ACTR2,-0.06241102109746666,0.16916098100442287,8.881088223372904e-06
28,SLC6A9,0.20279207963276233,0.16881742225694835,9.088110956997988e-06
20,CSPG4,0.18052571309797252,0.1685766814273231,9.236005493017217e-06
104,TPM3,-0.08981334566040548,0.16133934462751953,1.4980082118305129e-05
1054,SHC1,-0.13036810890936681,0.1580355974686752,1.8660877555703734e-05
934,PPP1R12A,-0.056541034878110734,0.157892733356066,1.8838741464671425e-05
1026,TEAD1,0.16068235315846902,0.15505811295589078,2.27346171692142e-05
244,REL,-0.0921356098032471,0.15383803675953442,2.464694058940378e-05
510,MAP3K4,-0.07433458155201687,0.15322395743824183,2.5668639734664818e-05
867,TRIM28,0.14653545876837407,0.15068109580062974,3.0363318856729127e-05
5,RAPGEF1,-0.05702924943533394,0.15064333986414782,3.043905335249298e-05
84,PSAT1,0.15777714980617288,0.14751239404203048,3.741355695229833e-05
673,COL6A2,-0.2429841563529506,0.145806271519725,4.185567783917588e-05
225,NOTCH1,0.09120146283974083,0.14422272314714088,4.64427540324205e-05
609,RB1,0.15969960259238605,0.14289971206860452,5.065312809933186e-05
962,PRKACA,-0.10888091311405865,0.14068601825454968,5.8556838088374185e-05
690,ZEB1,0.1246756781297918,0.14033986928109932,5.9898263376606306e-05
624,TRAF6,0.06937373145367885,0.1381694180851581,6.902898815438798e-05
585,MET,-0.15716658898123415,0.13764209087052046,7.144734928879852e-05
17,RASSF5,-0.1130964127791962,0.14889240302383194,7.998252297534548e-05
636,PGM1,0.0831989650447605,0.1349438147695293,8.519465861736664e-05
1038,SERPINB2,-0.24449658083447437,0.18272626647953583,8.52436433897453e-05
371,YES1,0.08964064854981839,0.13410990922323665,8.994981573870269e-05
961,PPP2R3A,-0.10411213358372513,0.14362418345806463,0.00010963206827541697
664,MKNK1,-0.07456355572305433,0.13000508764676103,0.00011746177536874388
128,SLIT2,-0.15601651536862468,0.15734661868589214,0.00011888871827826605
951,GNA12,0.08774803166007952,0.12979408421267255,0.0001190816014786323
274,MMP2,0.15425684102373582,0.12917599419870227,0.00012395475344007534
623,COL1A1,-0.33632496456943756,0.1289364891564015,0.0001258956280621004
459,ITGB8,0.13683942016486164,0.12811350087498166,0.00013279677323668678
119,AJUBA,0.09685858409988889,0.1275147867539458,0.0001380511147290718
1044,IKBKE,-0.11355715498115335,0.1393664835629516,0.00014131898637407235
859,SSH2,-0.09049879765007893,0.12519204464324393,0.00016045483615268196
13,PRKCD,-0.10047880101812408,0.12510811431867244,0.00016132841647889344
670,PRKCQ,-0.1449010639774365,0.13648222619542816,0.00016776187313173618
92,CACNB2,-0.14980300549749562,0.12319803992843402,0.0001825319134570241
380,SSH1,-0.07660223182736299,0.12257745012617781,0.0001899974794741052
221,CTNNA1,0.132336548055495,0.12218621517011367,0.0001948584379312211
127,CASP3,0.15390181973794018,0.12112619950196839,0.00020865601566025623
835,LIMK1,-0.0855303639027973,0.11970667616912586,0.00022865842359613386
498,PSPH,0.20177547855705263,0.11918104950410624,0.00023653700377076564
