,Comparison,Slope_x,R_squared_x,P_value_x,Slope_y,R_squared_y,P_value_y
0,GRB2,-0.1637256664824653,0.4115691431244513,5.6518915861054995e-14,0.1950107391201895,0.3190044833364907,9.660917045267772e-18
1,SOX9,0.24829961827488556,0.27358745673390444,5.3824781824466724e-09,0.1988586171845548,0.10685579747718144,0.002405922511554229
2,CDKN2C,0.27517296279344844,0.2362860506001864,8.39950985947283e-08,0.5067033593565926,0.5302906411526801,2.460993506756936e-33
3,GAB1,0.1424470497679289,0.2154910785667288,3.6900400482481374e-07,-0.17524771799427494,0.18688647709996575,3.0845897134606445e-10
4,DBI,0.1818303111698339,0.21361808965898316,4.209130499164386e-07,-0.6485471472781679,0.5739232865299875,2.3622859352755352e-15
5,DBI,0.1818303111698339,0.21361808965898316,4.209130499164386e-07,-0.6485471472781679,0.5739232865299875,2.3622859352755352e-15
6,CDH4,0.1700748539117506,0.2025107784329428,9.136729532775755e-07,1.3510358093187502,0.570314171151311,1.1177602384406195e-19
7,SHOC2,-0.09173813258413707,0.19747214776133634,1.294703347852103e-06,0.049476006283080715,0.07015958589119725,0.00018970339204705617
8,HGF,-0.2454170102706807,0.20948566671392269,1.9065294767463227e-06,-0.8575096204659256,0.5071834407008528,2.5280202321041245e-31
9,PIK3CD,-0.11103960776642252,0.1901867406470069,2.136240654272937e-06,0.6104802001217945,0.5501170445063064,3.8480450594439824e-35
10,RGMA,0.16763125580403196,0.18671596542510752,2.7082488542936872e-06,,,
11,CDK6,0.2923697140951773,0.18158039095486644,3.841428908360903e-06,0.32321934119441315,0.2815040828590341,1.7626898590150031e-15
12,DAPK3,-0.0874248149653773,0.17952350668783798,4.416482158708631e-06,0.06176731857921765,0.021341741547178703,0.0420990193676767
13,CTSB,-0.1642881089308222,0.1699222924822097,8.438760085223734e-06,-0.4726548738563747,0.34456679586313804,2.3640551519551698e-19
14,PDGFA,0.18598248763644248,0.1725966989769273,8.595529349533772e-06,0.03136606258294952,0.0005818701586755487,0.9049366051065836
15,ACTR2,-0.062411021097466664,0.16916098100442287,8.881088223372904e-06,,,
16,SLC6A9,0.20279207963276236,0.16881742225694835,9.088110956997988e-06,,,
17,CSPG4,0.18052571309797247,0.1685766814273231,9.236005493017217e-06,1.0809677716239598,0.6968110877383505,1.2069129775788766e-51
18,TPM3,-0.08981334566040547,0.16133934462751953,1.4980082118305127e-05,0.21806829063260794,0.2717680490905861,0.038372570766990736
19,TPM3,-0.08981334566040547,0.16133934462751953,1.4980082118305127e-05,0.21806829063260794,0.2717680490905861,0.038372570766990736
