Cancer_Type,Gene,Comparison,Interacting_Protein,P_Value
Ovarian,ARID1A,LEUTX_transcriptomics,False,4.841571424342022e-07
Ovarian,ARID1A,TMPRSS11D_transcriptomics,False,4.989869343976418e-07
Ovarian,ARID1A,LOC100506085_transcriptomics,False,5.018118446931056e-07
Ovarian,ARID1A,FAM169B_transcriptomics,False,5.064402916409711e-07
Ovarian,ARID1A,SIAE_transcriptomics,False,5.091984723692566e-07
Ovarian,ARID1A,EPS8L3_transcriptomics,False,5.164757694632849e-07
Ovarian,ARID1A,G6PC2_transcriptomics,False,5.199804494051344e-07
Ovarian,ARID1A,UTS2_transcriptomics,False,5.480893821296639e-07
Ovarian,ARID1A,MAP2K6_transcriptomics,False,5.668831838339008e-07
Ovarian,ARID1A,PTHLH_transcriptomics,False,5.972126137023001e-07
Ovarian,ARID1A,PIP_transcriptomics,False,6.160231052317259e-07
Ovarian,ARID1A,LCN15_transcriptomics,False,6.191964909853353e-07
Ovarian,ARID1A,SULF2_transcriptomics,False,6.320267125220736e-07
Ovarian,ARID1A,FUT6_transcriptomics,False,6.73918534178176e-07
Ovarian,ARID1A,HSD17B2_transcriptomics,False,7.309743338910318e-07
Ovarian,ARID1A,TPRX1_transcriptomics,False,7.323497581759095e-07
Ovarian,ARID1A,TFAP2B_transcriptomics,False,7.441152198473736e-07
Ovarian,ARID1A,MTRNR2L6_transcriptomics,False,7.453821000431733e-07
Ovarian,ARID1A,F3_transcriptomics,False,8.296979749009408e-07
Ovarian,ARID1A,TRIM43B_transcriptomics,False,8.299754257640669e-07
Ovarian,ARID1A,PPP1R3B_transcriptomics,False,8.330274676257399e-07
Ovarian,ARID1A,RFPL1_transcriptomics,False,8.986442217586256e-07
Ovarian,ARID1A,GDF15_transcriptomics,False,9.257919101820059e-07
Ovarian,ARID1A,CEACAM1_transcriptomics,False,9.589350365081972e-07
Ovarian,ARID1A,MTUS2-AS1_transcriptomics,False,1.0631404008384091e-06
Ovarian,ARID1A,MFSD4_transcriptomics,False,1.078302279757093e-06
Ovarian,ARID1A,NCALD_transcriptomics,False,1.286968522029505e-06
Ovarian,ARID1A,AVPR1A_transcriptomics,False,1.3135878128919594e-06
Ovarian,ARID1A,MESP2_transcriptomics,False,1.3534986832363256e-06
Ovarian,ARID1A,SLC43A1_transcriptomics,False,1.403134849514635e-06
Ovarian,ARID1A,PZP_transcriptomics,False,1.4221869250690906e-06
Ovarian,ARID1A,LOC100505817_transcriptomics,False,1.4373499227722156e-06
Ovarian,ARID1A,LOC643486_transcriptomics,False,1.4460038229738038e-06
Ovarian,ARID1A,LINC01245_transcriptomics,False,1.5312062030954485e-06
Ovarian,ARID1A,INSM1_transcriptomics,False,1.536218506293516e-06
Ovarian,ARID1A,LOC102724484_transcriptomics,False,1.6484210613832437e-06
Ovarian,ARID1A,KIF13B_transcriptomics,False,1.6505900234893725e-06
Ovarian,ARID1A,KCNH4_transcriptomics,False,1.6663734483779102e-06
Ovarian,ARID1A,KHDC1L_transcriptomics,False,1.6737546407604926e-06
Ovarian,ARID1A,HS3ST1_transcriptomics,False,1.6968514041301213e-06
Ovarian,ARID1A,LINC00462_transcriptomics,False,1.7530589483147343e-06
Ovarian,ARID1A,SEMA3G_transcriptomics,False,2.1019983478358525e-06
Ovarian,ARID1A,ANO1_transcriptomics,False,2.1547950528137644e-06
Endometrial,ARID1A,ARID1A-S1755_phosphoproteomics,True,7.963746963583788e-10
Endometrial,ARID1A,ARID1A-S1184_phosphoproteomics,True,4.338935585829806e-07
Endometrial,ARID1A,ARID1A-S1604_phosphoproteomics,True,1.501846369487586e-06
Endometrial,ARID1A,ARID1A-S363_phosphoproteomics,True,3.4022192493243236e-05
Endometrial,ARID1A,ARID1A-S1755_phosphoproteomics,False,7.963746963583788e-10
Endometrial,ARID1A,ARID1A-S1184_phosphoproteomics,False,4.338935585829806e-07
Ovarian,ARID1A,STMN1-S38s_phosphoproteomics,False,1.498115453647033e-07
Endometrial,ARID1A,SMARCC2-K599_acetylproteomics,True,8.624185988924876e-07
Endometrial,ARID1A,ARID1A-K980_acetylproteomics,True,0.000318738105663516
Endometrial,ARID1A,SMARCC2-K599_acetylproteomics,False,8.624185988924876e-07
